epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.3415,1.66448,5.4788,1.56723,0.14327,0.21218,0.06318,0.03533,1.51567,5.93961,1.66891,2.104e-05,2.104e-05,2.104e-05
2,166.321,1.65091,3.79087,1.50206,0.45544,0.1526,0.15905,0.1049,1.43418,7.31363,1.56916,4.62985e-05,4.62985e-05,4.62985e-05
3,239.942,1.46308,2.65476,1.378,0.2341,0.27797,0.29485,0.22148,1.28842,10.4901,1.43974,7.03998e-05,7.03998e-05,7.03998e-05
4,314.329,1.40399,2.21477,1.36139,0.8377,0.3099,0.36424,0.24796,1.27222,6.42146,1.44489,9.3344e-05,9.3344e-05,9.3344e-05
5,388.725,1.30109,1.90635,1.26567,0.49437,0.48714,0.41675,0.2768,1.31772,3.57045,1.48005,0.000115131,0.000115131,0.000115131
6,467.324,1.29703,1.86903,1.25061,0.64638,0.53412,0.5346,0.3415,1.39123,2.99912,1.51175,0.000135761,0.000135761,0.000135761
7,550.128,1.22663,1.60184,1.21127,0.75442,0.45265,0.5331,0.35401,1.43921,2.4519,1.52296,0.000155233,0.000155233,0.000155233
8,635.575,1.24697,1.50471,1.19716,0.75735,0.42556,0.54838,0.37206,1.40168,2.28192,1.50409,0.000173548,0.000173548,0.000173548
9,717.145,1.1857,1.39775,1.19688,0.4655,0.53957,0.5527,0.35456,1.39757,2.20499,1.51352,0.000190707,0.000190707,0.000190707
10,808.226,1.17108,1.36674,1.20051,0.64573,0.50843,0.52947,0.34268,1.43509,2.2775,1.53782,0.000206707,0.000206707,0.000206707
11,886.451,1.11998,1.26284,1.16281,0.75995,0.47199,0.53505,0.35471,1.45447,2.35874,1.54566,0.000221551,0.000221551,0.000221551
12,967.161,1.13277,1.18575,1.1741,0.67736,0.5165,0.54619,0.36329,1.46992,2.26978,1.56699,0.000235238,0.000235238,0.000235238
13,1043.06,1.12124,1.20587,1.17652,0.73366,0.48091,0.54138,0.36223,1.47169,2.21983,1.58648,0.000247767,0.000247767,0.000247767
14,1124.95,1.10938,1.14791,1.14821,0.58421,0.54193,0.57738,0.36979,1.50316,2.14666,1.61267,0.000259139,0.000259139,0.000259139
15,1196.58,1.10551,1.13598,1.15468,0.68659,0.51504,0.58734,0.39237,1.445,2.09188,1.57568,0.000269354,0.000269354,0.000269354
